FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_hoje_ref.ca21d9c8-d2a0-31e2-b44f-9022bd073a7e,ca21d9c8-d2a0-31e2-b44f-9022bd073a7e,-44.191,-5.832,2020-09-24T16:35:00,AQUA_M-T,JATOBÁ,MARANHÃO,Brasil,2105450,21,33,,,,Cerrado,POINT (-5.832 -44.191)
focos_brasil_hoje_ref.3681e514-b8d6-365a-9428-522684a16e40,3681e514-b8d6-365a-9428-522684a16e40,-45.63,-4.647,2020-09-24T16:35:00,AQUA_M-T,MARAJÁ DO SENA,MARANHÃO,Brasil,2106359,21,33,,,,Cerrado,POINT (-4.647 -45.63)
focos_brasil_hoje_ref.160092d6-7ca6-30b6-8857-665fcc4c4251,160092d6-7ca6-30b6-8857-665fcc4c4251,-48.501,-2.96,2020-09-24T16:35:00,AQUA_M-T,TOMÉ-AÇU,PARÁ,Brasil,1508001,15,33,,,,Amazônia,POINT (-2.96 -48.501)
focos_brasil_hoje_ref.55923c6b-3213-3016-8b7d-d75497138219,55923c6b-3213-3016-8b7d-d75497138219,-49.251,-0.794,2020-09-24T16:35:00,AQUA_M-T,PONTA DE PEDRAS,PARÁ,Brasil,1505700,15,33,,,,Amazônia,POINT (-0.794 -49.251)
focos_brasil_hoje_ref.6743ccf9-34a1-31b3-8583-eb9322f32fdd,6743ccf9-34a1-31b3-8583-eb9322f32fdd,-49.541,-4.617,2020-09-24T16:35:00,AQUA_M-T,NOVO REPARTIMENTO,PARÁ,Brasil,1505064,15,33,,,,Amazônia,POINT (-4.617 -49.541)
focos_brasil_hoje_ref.62fd8cc3-8700-31ac-82a7-ed366275490b,62fd8cc3-8700-31ac-82a7-ed366275490b,-48.795,-5.831,2020-09-24T16:35:00,AQUA_M-T,MARABÁ,PARÁ,Brasil,1504208,15,33,,,,Amazônia,POINT (-5.831 -48.795)
focos_brasil_hoje_ref.48d579f3-c93c-3116-9523-7e50c5906db9,48d579f3-c93c-3116-9523-7e50c5906db9,-48.984,-0.237,2020-09-24T16:35:00,AQUA_M-T,CHAVES,PARÁ,Brasil,1502509,15,33,,,,Amazônia,POINT (-0.237 -48.984)
focos_brasil_hoje_ref.63f3b636-b353-3503-9e5f-9ab9e1defb59,63f3b636-b353-3503-9e5f-9ab9e1defb59,-45.121,-2.763,2020-09-24T16:35:00,AQUA_M-T,PALMEIRÂNDIA,MARANHÃO,Brasil,2107605,21,33,,,,Amazônia,POINT (-2.763 -45.121)
focos_brasil_hoje_ref.ca8161aa-2a0e-35bd-81a4-5bc490b4f608,ca8161aa-2a0e-35bd-81a4-5bc490b4f608,-50.796,0.508,2020-09-24T16:35:00,AQUA_M-T,MACAPÁ,AMAPÁ,Brasil,1600303,16,33,,,,Amazônia,POINT (0.508 -50.796)
focos_brasil_hoje_ref.1bd47299-1462-3e02-9e73-67b95e723e86,1bd47299-1462-3e02-9e73-67b95e723e86,-44.182,-5.831,2020-09-24T16:35:00,AQUA_M-T,JATOBÁ,MARANHÃO,Brasil,2105450,21,33,,,,Cerrado,POINT (-5.831 -44.182)
focos_brasil_hoje_ref.0e3ce97b-5ec4-3abb-9e27-c3c8832701a4,0e3ce97b-5ec4-3abb-9e27-c3c8832701a4,-48.533,-4.569,2020-09-24T16:35:00,AQUA_M-T,RONDON DO PARÁ,PARÁ,Brasil,1506187,15,33,,,,Amazônia,POINT (-4.569 -48.533)
focos_brasil_hoje_ref.b878d679-66dc-3649-a02f-d93d8d3878d7,b878d679-66dc-3649-a02f-d93d8d3878d7,-54.815,-2.963,2020-09-24T16:35:00,AQUA_M-T,MOJUÍ DOS CAMPOS,PARÁ,Brasil,1504752,15,33,,,,Amazônia,POINT (-2.963 -54.815)
focos_brasil_hoje_ref.26a18b0b-d63d-38c8-b1b4-b3b681388ab9,26a18b0b-d63d-38c8-b1b4-b3b681388ab9,-44.942,-5.819,2020-09-24T16:35:00,AQUA_M-T,FERNANDO FALCÃO,MARANHÃO,Brasil,2104081,21,33,,,,Cerrado,POINT (-5.819 -44.942)
focos_brasil_hoje_ref.b595ee49-4a0c-3c84-982e-86b23550cbfb,b595ee49-4a0c-3c84-982e-86b23550cbfb,-52.058,-2.262,2020-09-24T16:35:00,AQUA_M-T,PORTO DE MOZ,PARÁ,Brasil,1505908,15,33,,,,Amazônia,POINT (-2.262 -52.058)
focos_brasil_hoje_ref.e63d595e-c089-3e13-a3db-2ecd5fbc9a2c,e63d595e-c089-3e13-a3db-2ecd5fbc9a2c,-41.333,-5.506,2020-09-24T16:35:00,AQUA_M-T,SÃO MIGUEL DO TAPUIO,PIAUÍ,Brasil,2210409,22,33,,,,Caatinga,POINT (-5.506 -41.333)
focos_brasil_hoje_ref.d4674a49-db43-3098-9bd5-53e5b326db75,d4674a49-db43-3098-9bd5-53e5b326db75,-48.787,-5.83,2020-09-24T16:35:00,AQUA_M-T,MARABÁ,PARÁ,Brasil,1504208,15,33,,,,Amazônia,POINT (-5.83 -48.787)
